Agency,Name,Position,Remuneration,Expenses,Year,Sector
Saanich police,,Constable,113543,1667,2020,Municipal Police
Saanich police,,Constable,111770,40,2020,Municipal Police
Saanich police,,Constable,112144,464,2020,Municipal Police
Saanich police,,Constable,97254,905,2020,Municipal Police
Saanich police,,Constable,135849,0,2020,Municipal Police
Saanich police,,Staff Sergeant,143152,544,2020,Municipal Police
Saanich police,,Constable,83869,0,2020,Municipal Police
Saanich police,,Sergeant,131857,285,2020,Municipal Police
Saanich police,,Constable,99159,0,2020,Municipal Police
Saanich police,,Constable,102414,1586,2020,Municipal Police
Saanich police,,Constable,121744,154,2020,Municipal Police
Saanich police,,Constable,115973,630,2020,Municipal Police
Saanich police,,Constable,123389,5109,2020,Municipal Police
Saanich police,,Constable,111369,331,2020,Municipal Police
Saanich police,,Constable,124313,277,2020,Municipal Police
Saanich police,,Constable,114419,2737,2020,Municipal Police
Saanich police,,Staff Sergeant,139823,0,2020,Municipal Police
Saanich police,,Constable,106664,1673,2020,Municipal Police
Saanich police,,Constable,106864,1076,2020,Municipal Police
Saanich police,,Constable,95772,0,2020,Municipal Police
Saanich police,,Sergeant,131885,0,2020,Municipal Police
Saanich police,,Sergeant,135346,0,2020,Municipal Police
Saanich police,,Constable,145193,1437,2020,Municipal Police
Saanich police,,Staff Sergeant,141491,0,2020,Municipal Police
Saanich police,,Constable,93433,45,2020,Municipal Police
Saanich police,,Constable,120781,605,2020,Municipal Police
Saanich police,,Constable,124826,544,2020,Municipal Police
Saanich police,,Sergeant,145548,462,2020,Municipal Police
Saanich police,,Constable,84491,2457,2020,Municipal Police
Saanich police,,Constable,118262,267,2020,Municipal Police
Saanich police,,Constable,116240,40,2020,Municipal Police
Saanich police,,Constable,106710,0,2020,Municipal Police
Saanich police,,Constable,117415,166,2020,Municipal Police
Saanich police,,Constable,120744,0,2020,Municipal Police
Saanich police,,Constable,117108,275,2020,Municipal Police
Saanich police,,Sergeant,128045,3742,2020,Municipal Police
Saanich police,,Constable,92433,1307,2020,Municipal Police
Saanich police,,Sergeant,123016,0,2020,Municipal Police
Saanich police,,Sergeant,142391,193,2020,Municipal Police
Saanich police,,Constable,93795,53,2020,Municipal Police
Saanich police,,Constable,131666,973,2020,Municipal Police
Saanich police,,Constable,112912,240,2020,Municipal Police
Saanich police,,Constable,143843,0,2020,Municipal Police
Saanich police,,Constable,106726,500,2020,Municipal Police
Saanich police,,Constable,104591,0,2020,Municipal Police
Saanich police,,Sergeant,123217,0,2020,Municipal Police
Saanich police,,Constable,109728,2009,2020,Municipal Police
Saanich police,,Constable,118209,0,2020,Municipal Police
Saanich police,,Constable,82494,0,2020,Municipal Police
Saanich police,,Constable,79983,63,2020,Municipal Police
Saanich police,,Constable,94930,1355,2020,Municipal Police
Saanich police,,Constable,101800,1279,2020,Municipal Police
Saanich police,,Constable,133275,0,2020,Municipal Police
Saanich police,,Sergeant,126241,528,2020,Municipal Police
Saanich police,,Constable,114106,1449,2020,Municipal Police
Saanich police,,Sergeant,125563,495,2020,Municipal Police
Saanich police,,Constable,125565,108,2020,Municipal Police
Saanich police,,Staff Sergeant,88933,0,2020,Municipal Police
Saanich police,,Constable,107647,15,2020,Municipal Police
Saanich police,,Constable,107153,146,2020,Municipal Police
Saanich police,,Constable,83570,2583,2020,Municipal Police
Saanich police,,Constable,118829,149,2020,Municipal Police
Saanich police,,Constable,112854,42,2020,Municipal Police
Saanich police,,Constable,111164,795,2020,Municipal Police
Saanich police,,Constable,115170,0,2020,Municipal Police
Saanich police,,Constable,123908,0,2020,Municipal Police
Saanich police,,Constable,106092,2942,2020,Municipal Police
Saanich police,,Constable,97132,0,2020,Municipal Police
Saanich police,,Constable,130681,0,2020,Municipal Police
Saanich police,,Constable,79648,2263,2020,Municipal Police
Saanich police,,Sergeant,130186,140,2020,Municipal Police
Saanich police,,Constable,122691,5681,2020,Municipal Police
Saanich police,,Constable,115180,995,2020,Municipal Police
Saanich police,,Constable,114620,0,2020,Municipal Police
Saanich police,,Constable,115329,0,2020,Municipal Police
Saanich police,,Sergeant,139200,0,2020,Municipal Police
Saanich police,,Constable,122814,0,2020,Municipal Police
Saanich police,,Constable,112205,1782,2020,Municipal Police
Saanich police,,Constable,115244,0,2020,Municipal Police
Saanich police,,Constable,110842,2341,2020,Municipal Police
Saanich police,,Constable,109094,1857,2020,Municipal Police
Saanich police,,Constable,101255,340,2020,Municipal Police
Saanich police,,Constable,113344,2879,2020,Municipal Police
Saanich police,,Equipment Officer,75344,0,2020,Municipal Police
Saanich police,,Constable,105057,0,2020,Municipal Police
Saanich police,,Constable,125749,1922,2020,Municipal Police
Saanich police,,Constable,110852,224,2020,Municipal Police
Saanich police,,Sergeant,125593,6416,2020,Municipal Police
Saanich police,,Constable,127268,160,2020,Municipal Police
Saanich police,,Constable,78866,153,2020,Municipal Police
Saanich police,,Sergeant,129069,575,2020,Municipal Police
Saanich police,,Sergeant,130352,0,2020,Municipal Police
Saanich police,,Constable,129205,148,2020,Municipal Police
Saanich police,,Constable,127782,998,2020,Municipal Police
Saanich police,,Constable,148152,2548,2020,Municipal Police
Saanich police,,Constable,138860,16,2020,Municipal Police
Saanich police,,Constable,122455,450,2020,Municipal Police
Saanich police,,Sergeant,148353,0,2020,Municipal Police
Saanich police,,Constable,85241,860,2020,Municipal Police
Saanich police,,Constable,112061,0,2020,Municipal Police
Saanich police,,Constable,103482,0,2020,Municipal Police
Saanich police,,Sergeant,139536,0,2020,Municipal Police
Saanich police,,Constable,115733,1989,2020,Municipal Police
Saanich police,,Constable,120960,0,2020,Municipal Police
Saanich police,,Constable,99830,1355,2020,Municipal Police
Saanich police,,Constable,114347,0,2020,Municipal Police
Saanich police,,Sergeant,143885,0,2020,Municipal Police
Saanich police,,Constable,77884,363,2020,Municipal Police
Saanich police,,Constable,109130,0,2020,Municipal Police
Saanich police,,Staff Sergeant,140722,336,2020,Municipal Police
Saanich police,,Constable,121251,0,2020,Municipal Police
Saanich police,,Sergeant,117900,6,2020,Municipal Police
Saanich police,,Constable,95301,352,2020,Municipal Police
Saanich police,,Sergeant,98593,1148,2020,Municipal Police
Saanich police,,Constable,117064,0,2020,Municipal Police
Saanich police,,Constable,104935,85,2020,Municipal Police
Saanich police,,Constable,110674,2554,2020,Municipal Police
Saanich police,,Constable,102127,0,2020,Municipal Police
Saanich police,,Constable,128682,977,2020,Municipal Police
Saanich police,,Constable,104648,0,2020,Municipal Police
Saanich police,,Constable,155821,656,2020,Municipal Police
Saanich police,,Constable,114763,0,2020,Municipal Police
Saanich police,,Staff Sergeant,140197,0,2020,Municipal Police
Saanich police,,Staff Sergeant,130836,1498,2020,Municipal Police
Saanich police,,Constable,107621,0,2020,Municipal Police
Saanich police,,Constable,93937,0,2020,Municipal Police
Saanich police,,Constable,116056,0,2020,Municipal Police
Saanich police,,Sergeant,126791,0,2020,Municipal Police
Saanich police,,Constable,101113,720,2020,Municipal Police
Saanich police,,Constable,103672,1043,2020,Municipal Police
Saanich police,,Staff Sergeant,145794,0,2020,Municipal Police
Saanich police,,Constable,115796,6681,2020,Municipal Police
Saanich police,,Sergeant,132501,0,2020,Municipal Police
Saanich police,,Sergeant,124998,1661,2020,Municipal Police
Saanich police,,Constable,104496,53,2020,Municipal Police
Saanich police,,Constable,122387,544,2020,Municipal Police
Saanich police,,Constable,130369,300,2020,Municipal Police
Saanich police,,Constable,78053,10,2020,Municipal Police
Saanich police,,Constable,111534,0,2020,Municipal Police
Saanich police,,Constable,136544,118,2020,Municipal Police
Saanich police,,Constable,110208,0,2020,Municipal Police
Saanich police,,Sergeant,123385,4874,2020,Municipal Police
Saanich police,,Constable,110641,0,2020,Municipal Police
Vancouver police (VPD),,Guard,75131,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,75286,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,75564,137,2021,Municipal Police
Vancouver police (VPD),,Police Constable,75770,265,2021,Municipal Police
Vancouver police (VPD),"Musson, D.",Prime Trainer (T),75823,139,2021,Municipal Police
Vancouver police (VPD),,Police Constable,75866,0,2021,Municipal Police
Vancouver police (VPD),"Lawson, G.",Investigational Assistant,75982,0,2021,Municipal Police
Vancouver police (VPD),,Guard,76008,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76166,121,2021,Municipal Police
Vancouver police (VPD),"Quan, A.",Project Leader,76187,0,2021,Municipal Police
Vancouver police (VPD),"Thompkins, K.",Clerk V,76280,53,2021,Municipal Police
Vancouver police (VPD),"Hobbs, D.",Clerk V,76293,0,2021,Municipal Police
Vancouver police (VPD),"Chau, C.",Web Technician,76293,488,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76295,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76366,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76381,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76398,265,2021,Municipal Police
Vancouver police (VPD),"Karpinski, M.",Investigational Assistant (Sec.),76466,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76483,265,2021,Municipal Police
Vancouver police (VPD),"Tizya, C.",Forensic Video Analyst,76521,1295,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76630,265,2021,Municipal Police
Vancouver police (VPD),,Guard,76688,372,2021,Municipal Police
Vancouver police (VPD),,Police Constable,76918,0,2021,Municipal Police
Vancouver police (VPD),"Chow, S.",User Support Specialist Ii,76959,0,2021,Municipal Police
Vancouver police (VPD),"Dixon, P.",Executive Assistant,76983,0,2021,Municipal Police
Vancouver police (VPD),"Hsieh, S.",Business Applications Specialist,76987,186,2021,Municipal Police
Vancouver police (VPD),,Police Constable,77056,265,2021,Municipal Police
Vancouver police (VPD),"Leoci, L.",Executive Assistant,77107,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,77118,37,2021,Municipal Police
Vancouver police (VPD),,Guard,77135,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,77171,0,2021,Municipal Police
Vancouver police (VPD),"Stoddard, C.",Forensic Video Analyst Ii,77171,0,2021,Municipal Police
Vancouver police (VPD),,Guard,77288,47,2021,Municipal Police
Vancouver police (VPD),"Sekhon, J.",Clerk V,77299,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,77446,0,2021,Municipal Police
Vancouver police (VPD),,Guard,77449,47,2021,Municipal Police
Vancouver police (VPD),,Traffic Authority (Aux.),77474,0,2021,Municipal Police
Vancouver police (VPD),"Bakker, J.",User Support Specialist Ii,77661,0,2021,Municipal Police
Vancouver police (VPD),"Lepard, H.",Investigational Assistant,77795,0,2021,Municipal Police
Vancouver police (VPD),"Shortis, P.",User Support Specialist Ii,77947,1790,2021,Municipal Police
Vancouver police (VPD),"Mangat, R.",Investigational Assistant,77983,0,2021,Municipal Police
Vancouver police (VPD),"Best, S.",Executive Assistant,77998,0,2021,Municipal Police
Vancouver police (VPD),"Heuchert, C.",Investigational Assistant (T),78009,201,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78046,16,2021,Municipal Police
Vancouver police (VPD),"Tempesta, L.",Executive Assistant,78053,0,2021,Municipal Police
Vancouver police (VPD),"Mounce, J.",Systems Application Specialist,78201,186,2021,Municipal Police
Vancouver police (VPD),"Szymczak, A.",Executive Assistant,78262,455,2021,Municipal Police
Vancouver police (VPD),"Jeangrand, C.",Labour Relations Coordinator,78262,1162,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78311,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78333,265,2021,Municipal Police
Vancouver police (VPD),"Lam, J.",Investigational Assistant (Sec.),78679,0,2021,Municipal Police
Vancouver police (VPD),"Derrett, P.",Clerk Iv,78695,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78755,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78800,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,78961,0,2021,Municipal Police
Vancouver police (VPD),"Nordholm, T.",Clerk V,79058,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,79060,315,2021,Municipal Police
Vancouver police (VPD),,Police Constable (Sec.),79124,0,2021,Municipal Police
Vancouver police (VPD),,Guard,79216,47,2021,Municipal Police
Vancouver police (VPD),,Guard,79251,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,79296,0,2021,Municipal Police
Vancouver police (VPD),,Guard,79318,727,2021,Municipal Police
Vancouver police (VPD),,Police Constable,79403,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,79448,0,2021,Municipal Police
Vancouver police (VPD),"Wotherspoon, S.",Information & Privacy Analyst,79632,0,2021,Municipal Police
Vancouver police (VPD),"Harvey, R.",Graphics Technician Videographer,79638,0,2021,Municipal Police
Vancouver police (VPD),"Hundle, P.",User Support Specialist Ii,79667,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,79833,202,2021,Municipal Police
Vancouver police (VPD),"Sin, A.",Clerk V,79844,698,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),79927,0,2021,Municipal Police
Vancouver police (VPD),"Ruschke, D.",Mobile Applications Specialist,79997,0,2021,Municipal Police
Vancouver police (VPD),"Hayer, S.",Clerk Iv,80249,0,2021,Municipal Police
Vancouver police (VPD),"Pharaon Mate, M.",Payroll Clerk Iii,80256,0,2021,Municipal Police
Vancouver police (VPD),,Guard Records,80272,729,2021,Municipal Police
Vancouver police (VPD),"Ashford, P.",Investigational Assistant,80450,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,80495,265,2021,Municipal Police
Vancouver police (VPD),"Tough, N.",Clerk Iv,80638,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,80707,105,2021,Municipal Police
Vancouver police (VPD),,Police Constable,80800,0,2021,Municipal Police
Vancouver police (VPD),"Abengoza, A.",Clerk Iii,80880,0,2021,Municipal Police
Vancouver police (VPD),"Morgan, K.",Clerk V,80934,53,2021,Municipal Police
Vancouver police (VPD),,Police Constable,81304,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,81524,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,81563,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,81579,1440,2021,Municipal Police
Vancouver police (VPD),,Police Constable,81630,42,2021,Municipal Police
Vancouver police (VPD),"Carreira0Simon, P.",Safety & Health Coordinator (T),81725,26,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82292,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82293,0,2021,Municipal Police
Vancouver police (VPD),"Chan, C.",Crime Analyst (T),82315,3847,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82473,0,2021,Municipal Police
Vancouver police (VPD),"Yano, L.",Clerk Iv,82509,0,2021,Municipal Police
Vancouver police (VPD),"Choi, Y.",Crime Analyst,82695,602,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82784,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82907,265,2021,Municipal Police
Vancouver police (VPD),,Guard Supervisor,82919,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,82933,0,2021,Municipal Police
Vancouver police (VPD),"Tecson, A.",Hr Consultant I,83041,2120,2021,Municipal Police
Vancouver police (VPD),,Guard Supervisor,83088,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83158,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83182,0,2021,Municipal Police
Vancouver police (VPD),,Guard Records,83246,727,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83328,0,2021,Municipal Police
Vancouver police (VPD),"Tse, L.",Crime Analyst (Sec.),83524,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83688,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83704,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83862,265,2021,Municipal Police
Vancouver police (VPD),"Fehr, A.",Curriculum Development Specialist,83973,131,2021,Municipal Police
Vancouver police (VPD),,Police Constable,83995,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84060,252,2021,Municipal Police
Vancouver police (VPD),"Wilson, D.",Technician,84196,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84243,0,2021,Municipal Police
Vancouver police (VPD),"Chung, P.",Financial Analyst (T),84325,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84417,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84428,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84453,0,2021,Municipal Police
Vancouver police (VPD),"Boroevich, M.",Clerk V,84467,382,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84588,0,2021,Municipal Police
Vancouver police (VPD),"Spencer, G.",Clerk Iv,84697,26,2021,Municipal Police
Vancouver police (VPD),"Eberle, T.",Prime System Liaison Specialist,84824,213,2021,Municipal Police
Vancouver police (VPD),,Police Constable,84875,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,85087,0,2021,Municipal Police
Vancouver police (VPD),"Hall, C.",Investigational Assistant,85135,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,85211,0,2021,Municipal Police
Vancouver police (VPD),"Ludwig, T.",Lead Applications Training Specialist,85347,0,2021,Municipal Police
Vancouver police (VPD),"Goforth, M.",Executive Assistant,85381,159,2021,Municipal Police
Vancouver police (VPD),,Police Constable,85632,0,2021,Municipal Police
Vancouver police (VPD),"Heiland, D.",Paralegal,85969,1566,2021,Municipal Police
Vancouver police (VPD),,Police Constable,86144,0,2021,Municipal Police
Vancouver police (VPD),"Carter, K.",Executive Assistant,86192,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,86248,265,2021,Municipal Police
Vancouver police (VPD),"King, L.",Administrator,86333,0,2021,Municipal Police
Vancouver police (VPD),"Dhami, M.",Telecommunication Technician,86387,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,86574,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,86678,42,2021,Municipal Police
Vancouver police (VPD),"Meiklejohn, C.",Crime Data Analyst,86839,0,2021,Municipal Police
Vancouver police (VPD),"Khaira, K.",Investigational Assistant,87074,321,2021,Municipal Police
Vancouver police (VPD),"Wong, K.",Youth Svcs Program Assistant (T),87104,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,87118,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,87125,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,87294,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),87412,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,87431,0,2021,Municipal Police
Vancouver police (VPD),"Tang, A.",Investigational Assistant,87806,0,2021,Municipal Police
Vancouver police (VPD),"Lee, W.",Lead User Support Specialist,87891,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88209,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88392,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88438,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88511,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88561,0,2021,Municipal Police
Vancouver police (VPD),"Deng, B.",Technician,88711,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88729,23,2021,Municipal Police
Vancouver police (VPD),"Lloyd, H.",Clerk Iii,88779,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,88793,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,89030,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,89049,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,89290,0,2021,Municipal Police
Vancouver police (VPD),,Guard Records,89391,47,2021,Municipal Police
Vancouver police (VPD),,Sergeant,89632,680,2021,Municipal Police
Vancouver police (VPD),"Karimi, F.",User Support Specialist Ii,89781,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,89813,105,2021,Municipal Police
Vancouver police (VPD),"Hobbs, A.",Youth Justice Programs Coordinator,90028,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,90081,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable,90105,0,2021,Municipal Police
Vancouver police (VPD),"Yu, E.",Computer Programmer/Analyst,90161,0,2021,Municipal Police
Vancouver police (VPD),"Lee, J.",Systems Specialist,90161,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,90294,7569,2021,Municipal Police
Vancouver police (VPD),"Wiebe, C.",Mobility Com Svcs Technical Coordinator,90492,0,2021,Municipal Police
Vancouver police (VPD),"Wong, N.",Forensic Video Analyst I,90727,315,2021,Municipal Police
Vancouver police (VPD),,Special Constable,91029,1482,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91142,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91463,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91469,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91593,50,2021,Municipal Police
Vancouver police (VPD),"Baker, S.",Coordinator 0 Victim Services Unit (Moj),91653,187,2021,Municipal Police
Vancouver police (VPD),"Irwin, P.",Clerk Typist Ii,91680,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91825,0,2021,Municipal Police
Vancouver police (VPD),,Guard,91853,47,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91865,47,2021,Municipal Police
Vancouver police (VPD),,Guard Supervisor,91916,727,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91965,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,91968,114,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92233,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92234,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92322,0,2021,Municipal Police
Vancouver police (VPD),"Kumar, D.",Crime Analyst,92334,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92437,0,2021,Municipal Police
Vancouver police (VPD),"Smith, L.",Project Leader,92561,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92740,47,2021,Municipal Police
Vancouver police (VPD),"Ng, J.",Systems Analyst Iii,92878,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,92984,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93068,0,2021,Municipal Police
Vancouver police (VPD),"Fan, A.",Senior Crime Analyst,93073,1704,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93251,47,2021,Municipal Police
Vancouver police (VPD),,Sergeant,93343,0,2021,Municipal Police
Vancouver police (VPD),"Odendaal, L.",Manager 3,93477,0,2021,Municipal Police
Vancouver police (VPD),,Sergeant,93591,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93600,1049,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93665,63,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),93752,16,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93800,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,93981,63,2021,Municipal Police
Vancouver police (VPD),"Hemm, L.",Diversity Programs Coordinator,94031,339,2021,Municipal Police
Vancouver police (VPD),,Police Constable,94067,0,2021,Municipal Police
Vancouver police (VPD),"Turner, S.",Fingerprint Coordinator,94093,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,94098,112,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),94163,26,2021,Municipal Police
Vancouver police (VPD),,Police Constable,94225,0,2021,Municipal Police
Vancouver police (VPD),"Cheung, A.",Technical Specialist,94245,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),94548,0,2021,Municipal Police
Vancouver police (VPD),"Parmar, P.",Fleet Manager,94674,472,2021,Municipal Police
Vancouver police (VPD),"Brown, B.",Investigational Assistant,94892,201,2021,Municipal Police
Vancouver police (VPD),,Police Constable,95240,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,95395,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,95460,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,95507,0,2021,Municipal Police
Vancouver police (VPD),,Guard Supervisor,95538,47,2021,Municipal Police
Vancouver police (VPD),"Lidder, S.",Hr Consultant Ii,95676,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,95728,35,2021,Municipal Police
Vancouver police (VPD),"Browne, C.",Senior Crime Analyst,95953,0,2021,Municipal Police
Vancouver police (VPD),"Tran, L.",Hr Consultant Ii,96075,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,96471,77,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),96564,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,96778,0,2021,Municipal Police
Vancouver police (VPD),"Lam, H.",Fleet & Parking Supervisor,96812,680,2021,Municipal Police
Vancouver police (VPD),,Police Constable,96932,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,96996,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97088,50,2021,Municipal Police
Vancouver police (VPD),"Singh, G.",User Support Specialist Ii,97138,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97246,0,2021,Municipal Police
Vancouver police (VPD),,Traffic Authority (Aux.),97248,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97301,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97332,813,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97375,1894,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97590,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),97814,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,97880,2085,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98033,92,2021,Municipal Police
Vancouver police (VPD),"Birch, L.",Senior Crime Analyst,98074,595,2021,Municipal Police
Vancouver police (VPD),"Lau, L.",Senior Crime Analyst,98074,0,2021,Municipal Police
Vancouver police (VPD),"Nham, J.",Youth&Mental Health Systems Coordinator,98074,1256,2021,Municipal Police
Vancouver police (VPD),"Pipher, G.",Senior Crime Analyst,98074,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98149,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98175,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98212,0,2021,Municipal Police
Vancouver police (VPD),"Sommerville, M.",Hr Consultant Ii,98263,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98356,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98367,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable (T),98411,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98594,0,2021,Municipal Police
Vancouver police (VPD),"Zarrabian, A.",Senior Crime Analyst,98603,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98741,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98746,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98824,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98917,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,98958,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99058,204,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99147,5620,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99215,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99322,42,2021,Municipal Police
Vancouver police (VPD),"Wong, H.",Planning & Policy Analyst,99450,0,2021,Municipal Police
Vancouver police (VPD),"Villamin, R.",Crime Analyst (T),99492,650,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99595,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99601,870,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99702,265,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99804,50,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99904,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99921,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,99992,0,2021,Municipal Police
Vancouver police (VPD),,Police Constable,100100,42,2021,Municipal Police
